Rank,Candidate,Score,Strengths,Weaknesses,Explanation,File
14,24322804,19.84,"ability, along, analytical, c, cad, communication, design, engineer, engineering, experience","000, 145, about, analyze, applied, area, background, behavior, canada, development",Similarity=0.04; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.59,E:\hackathon\1\resume\24322804.pdf
15,12022566,19.81,"ability, analyze, applied, c, cad, design, development, engineer, engineering, experience","000, 145, about, along, analytical, area, background, behavior, canada, communication",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.62,E:\hackathon\1\resume\12022566.pdf
16,82246962,19.75,"000, ability, analyze, applied, area, c, cad, communication, design, development","145, about, along, analytical, background, behavior, canada, navigation, performance, planning",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.62,E:\hackathon\1\resume\82246962.pdf
17,14593060,19.70,"000, ability, analyze, area, background, c, cad, communication, design, development","145, about, along, analytical, applied, behavior, canada, mode, navigation, planning",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.62,E:\hackathon\1\resume\14593060.pdf
18,64755882,19.69,"000, about, analyze, area, c, cad, communication, design, engineer, engineering","145, ability, along, analytical, applied, background, behavior, canada, development, navigation",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.62,E:\hackathon\1\resume\64755882.pdf
19,17111768,19.60,"ability, analyze, applied, area, behavior, c, communication, design, development, engineer","000, 145, about, along, analytical, background, cad, canada, mode, navigation",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.62,E:\hackathon\1\resume\17111768.pdf
20,20882041,19.59,"000, ability, area, c, cad, communication, design, development, engineer, engineering","145, about, along, analytical, analyze, applied, background, behavior, canada, navigation",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.62,E:\hackathon\1\resume\20882041.pdf
21,17108676,19.06,"ability, about, along, analyze, area, background, c, cad, communication, design","000, 145, analytical, applied, behavior, canada, development, mode, navigation, performance",Similarity=0.03; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.59,E:\hackathon\1\resume\17108676.pdf
22,12045067,18.79,"000, ability, analyze, applied, area, c, communication, design, development, engineer","145, about, along, analytical, background, behavior, cad, canada, mode, navigation",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.59,E:\hackathon\1\resume\12045067.pdf
23,10265057,18.72,"ability, analyze, background, c, cad, communication, design, development, engineer, engineering","000, 145, about, along, analytical, applied, area, behavior, canada, navigation",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.59,E:\hackathon\1\resume\10265057.pdf
24,28923650,18.69,"ability, about, along, analyze, c, cad, design, development, engineer, engineering","000, 145, analytical, applied, area, background, behavior, canada, communication, navigation",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.59,E:\hackathon\1\resume\28923650.pdf
25,46260230,18.62,"ability, analytical, analyze, area, c, communication, design, development, engineer, engineering","000, 145, about, along, applied, background, behavior, cad, canada, mode",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.59,E:\hackathon\1\resume\46260230.pdf
26,13264796,18.61,"000, ability, along, area, background, c, communication, design, development, engineer","145, about, analytical, analyze, applied, behavior, cad, canada, mode, navigation",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.59,E:\hackathon\1\resume\13264796.pdf
27,39855211,18.58,"ability, about, analytical, applied, area, behavior, c, communication, design, engineer","000, 145, along, analyze, background, cad, canada, development, mode, navigation",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.59,E:\hackathon\1\resume\39855211.pdf
28,30223363,18.40,"ability, along, analyze, area, c, canada, communication, design, development, engineer","000, 145, about, analytical, applied, background, behavior, cad, mode, navigation",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.59,E:\hackathon\1\resume\30223363.pdf
29,27058381,18.40,"ability, about, analyze, area, background, c, communication, design, development, experience","000, 145, along, analytical, applied, behavior, cad, canada, engineer, engineering",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.59,E:\hackathon\1\resume\27058381.pdf
30,10712803,18.37,"000, ability, applied, background, c, cad, communication, design, development, engineer","145, about, along, analytical, analyze, area, behavior, canada, mode, navigation",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.59,E:\hackathon\1\resume\10712803.pdf
31,14049846,18.34,"ability, analyze, c, cad, design, development, engineer, engineering, experience, gin","000, 145, about, along, analytical, applied, area, background, behavior, canada",Similarity=0.03; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.55,E:\hackathon\1\resume\14049846.pdf
32,22450718,18.12,"ability, analytical, analyze, c, communication, design, development, engineer, engineering, experience","000, 145, about, along, applied, area, background, behavior, cad, canada",Similarity=0.03; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.55,E:\hackathon\1\resume\22450718.pdf
33,21038022,18.05,"000, ability, analytical, analyze, c, communication, design, development, engineer, engineering","145, about, along, applied, area, background, behavior, cad, canada, mode",Similarity=0.03; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.55,E:\hackathon\1\resume\21038022.pdf
34,18159866,18.04,"ability, about, analytical, c, communication, design, development, engineer, engineering, experience","000, 145, along, analyze, applied, area, background, behavior, cad, canada",Similarity=0.03; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.55,E:\hackathon\1\resume\18159866.pdf
35,28126340,17.81,"000, ability, analytical, area, c, cad, design, development, engineer, experience","145, about, along, analyze, applied, background, behavior, canada, communication, engineering",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.55,E:\hackathon\1\resume\28126340.pdf
36,17488801,17.69,"000, analytical, analyze, area, c, cad, communication, design, development, engineer","145, ability, about, along, applied, background, behavior, canada, mode, navigation",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.55,E:\hackathon\1\resume\17488801.pdf
37,12011623,17.65,"ability, applied, area, c, cad, design, development, engineer, engineering, experience","000, 145, about, along, analytical, analyze, background, behavior, canada, communication",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.55,E:\hackathon\1\resume\12011623.pdf
38,33685075,17.54,"000, analyze, applied, area, background, c, design, development, engineer, engineering","145, ability, about, along, analytical, behavior, cad, canada, communication, navigation",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.55,E:\hackathon\1\resume\33685075.pdf
39,30097175,17.53,"000, ability, applied, area, c, design, development, engineer, engineering, experience","145, about, along, analytical, analyze, background, behavior, cad, canada, communication",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.55,E:\hackathon\1\resume\30097175.pdf
40,18301617,17.35,"000, ability, area, c, communication, design, development, engineer, engineering, experience","145, about, along, analytical, analyze, applied, background, behavior, cad, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.55,E:\hackathon\1\resume\18301617.pdf
41,18187364,17.30,"000, ability, analyze, c, design, development, engineer, engineering, experience, gin","145, about, along, analytical, applied, area, background, behavior, cad, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.55,E:\hackathon\1\resume\18187364.pdf
42,48037995,17.27,"ability, about, analytical, background, c, cad, communication, development, engineer, engineering","000, 145, along, analyze, applied, area, behavior, canada, design, mode",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.55,E:\hackathon\1\resume\48037995.pdf
43,19612167,17.20,"ability, analytical, analyze, area, c, communication, design, development, engineer, engineering","000, 145, about, along, applied, background, behavior, cad, canada, mode",Similarity=0.03; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\19612167.pdf
44,29051656,17.14,"ability, analytical, analyze, applied, area, c, communication, design, development, engineer","000, 145, about, along, background, behavior, cad, canada, mode, navigation",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.55,E:\hackathon\1\resume\29051656.pdf
45,38753827,17.12,"000, ability, c, cad, communication, design, development, engineer, engineering, experience","145, about, along, analytical, analyze, applied, area, background, behavior, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.55,E:\hackathon\1\resume\38753827.pdf
46,27756469,16.88,"ability, analytical, area, c, development, engineer, engineering, experience, gin, mode","000, 145, about, along, analyze, applied, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\27756469.pdf
47,32081266,16.87,"ability, c, communication, design, development, engineer, engineering, experience, gin, mode","000, 145, about, along, analytical, analyze, applied, area, background, behavior",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\32081266.pdf
48,83816738,16.82,"about, analytical, behavior, c, communication, design, development, engineer, engineering, experience","000, 145, ability, along, analyze, applied, area, background, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\83816738.pdf
49,24647794,16.80,"analytical, analyze, c, cad, communication, design, development, engineer, engineering, experience","000, 145, ability, about, along, applied, area, background, behavior, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\24647794.pdf
50,47919212,16.75,"000, about, area, c, development, engineer, engineering, experience, gin, mode","145, ability, along, analytical, analyze, applied, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\47919212.pdf
51,26746496,16.72,"ability, about, c, design, development, engineer, engineering, experience, gin, mode","000, 145, along, analytical, analyze, applied, area, background, behavior, cad",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\26746496.pdf
52,36856210,16.70,"ability, analytical, analyze, c, communication, design, engineer, engineering, experience, gin","000, 145, about, along, applied, area, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\36856210.pdf
53,16186411,16.63,"ability, about, c, design, development, engineer, engineering, experience, gin, mode","000, 145, along, analytical, analyze, applied, area, background, behavior, cad",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\16186411.pdf
54,23438227,16.63,"000, ability, analyze, area, c, cad, communication, design, engineer, engineering","145, about, along, analytical, applied, background, behavior, canada, development, mode",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\23438227.pdf
55,13405733,16.62,"000, analyze, c, communication, design, development, engineer, engineering, experience, gin","145, ability, about, along, analytical, applied, area, background, behavior, cad",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\13405733.pdf
56,12374933,16.62,"000, ability, along, analyze, applied, c, design, development, engineer, engineering","145, about, analytical, area, background, behavior, cad, canada, communication, mode",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\12374933.pdf
57,61579998,16.56,"000, ability, area, c, cad, design, development, engineer, engineering, experience","145, about, along, analytical, analyze, applied, background, behavior, canada, communication",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\61579998.pdf
58,51363762,16.55,"ability, analytical, analyze, area, c, communication, design, development, engineer, experience","000, 145, about, along, applied, background, behavior, cad, canada, engineering",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\51363762.pdf
59,26834746,16.46,"000, ability, area, c, communication, design, development, engineer, engineering, experience","145, about, along, analytical, analyze, applied, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\26834746.pdf
60,90280583,16.45,"000, ability, c, cad, design, development, engineer, engineering, experience, gin","145, about, along, analytical, analyze, applied, area, background, behavior, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\90280583.pdf
61,28762662,16.45,"000, ability, applied, c, communication, design, development, engineer, engineering, experience","145, about, along, analytical, analyze, area, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\28762662.pdf
62,15139979,16.45,"000, ability, area, c, communication, development, engineer, engineering, experience, gin","145, about, along, analytical, analyze, applied, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\15139979.pdf
63,14789139,16.44,"000, behavior, c, cad, communication, design, development, engineer, engineering, experience","145, ability, about, along, analytical, analyze, applied, area, background, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\14789139.pdf
64,36149549,16.43,"ability, analyze, area, c, communication, design, development, engineer, engineering, experience","000, 145, about, along, analytical, applied, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\36149549.pdf
65,19201175,16.40,"about, area, background, c, communication, design, development, engineer, experience, gin","000, 145, ability, along, analytical, analyze, applied, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\19201175.pdf
66,33381211,16.39,"000, about, c, communication, design, development, engineer, engineering, experience, gin","145, ability, along, analytical, analyze, applied, area, background, behavior, cad",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\33381211.pdf
67,27152464,16.39,"ability, behavior, c, communication, design, development, engineer, engineering, experience, gin","000, 145, about, along, analytical, analyze, applied, area, background, cad",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\27152464.pdf
68,30288581,16.38,"000, ability, analyze, c, cad, design, development, engineer, engineering, experience","145, about, along, analytical, applied, area, background, behavior, canada, communication",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\30288581.pdf
69,27295996,16.38,"000, analyze, applied, c, communication, development, engineer, experience, gin, performance","145, ability, about, along, analytical, area, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\27295996.pdf
70,92069209,16.38,"000, ability, analyze, area, c, communication, design, development, experience, gin","145, about, along, analytical, applied, background, behavior, cad, canada, engineer",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\92069209.pdf
71,18067556,16.38,"000, ability, analyze, area, background, c, design, experience, gin, mode","145, about, along, analytical, applied, behavior, cad, canada, communication, development",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\18067556.pdf
72,28505854,16.32,"000, along, c, design, development, engineer, engineering, experience, gin, mode","145, ability, about, analytical, analyze, applied, area, background, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\28505854.pdf
73,35651876,16.30,"000, ability, area, c, communication, design, engineer, engineering, experience, gin","145, about, along, analytical, analyze, applied, background, behavior, cad, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\35651876.pdf
74,30542184,16.17,"000, ability, analyze, area, background, c, communication, engineer, engineering, experience","145, about, along, analytical, applied, behavior, cad, canada, design, development",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\30542184.pdf
75,20879311,16.16,"000, ability, area, c, communication, design, development, engineer, experience, gin","145, about, along, analytical, analyze, applied, background, behavior, cad, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\20879311.pdf
76,74236636,16.12,"000, ability, area, c, cad, communication, design, development, engineer, engineering","145, about, along, analytical, analyze, applied, background, behavior, canada, mode",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\74236636.pdf
77,15858254,16.11,"000, ability, analyze, c, cad, communication, design, engineer, engineering, experience","145, about, along, analytical, applied, area, background, behavior, canada, development",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\15858254.pdf
78,17926546,16.05,"ability, analyze, applied, c, cad, design, development, engineer, engineering, experience","000, 145, about, along, analytical, area, background, behavior, canada, communication",Similarity=0.03; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\17926546.pdf
79,39413067,15.73,"000, ability, analytical, analyze, applied, c, communication, design, development, experience","145, about, along, area, background, behavior, cad, canada, engineer, engineering",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\39413067.pdf
80,35389360,15.71,"000, ability, along, c, communication, design, development, engineer, engineering, experience","145, about, analytical, analyze, applied, area, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\35389360.pdf
81,10624813,15.65,"000, ability, c, design, development, engineer, engineering, experience, gin, mode","145, about, along, analytical, analyze, applied, area, background, behavior, cad",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\10624813.pdf
82,81125166,15.64,"c, cad, communication, design, development, engineer, engineering, experience, gin, performance","000, 145, ability, about, along, analytical, analyze, applied, area, background",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\81125166.pdf
83,37335325,15.63,"ability, c, communication, design, development, engineer, engineering, experience, gin, mode","000, 145, about, along, analytical, analyze, applied, area, background, behavior",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\37335325.pdf
84,20981299,15.58,"ability, analyze, area, c, cad, design, development, engineer, engineering, experience","000, 145, about, along, analytical, applied, background, behavior, canada, communication",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\20981299.pdf
85,12488356,15.57,"000, ability, area, c, design, development, engineer, engineering, experience, gin","145, about, along, analytical, analyze, applied, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\12488356.pdf
86,20314980,15.53,"000, ability, analyze, c, design, engineer, engineering, experience, gin, performance","145, about, along, analytical, applied, area, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\20314980.pdf
87,86828820,15.48,"000, analytical, analyze, c, cad, communication, design, development, engineer, engineering","145, ability, about, along, applied, area, background, behavior, canada, navigation",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\86828820.pdf
88,26801767,15.46,"000, area, c, cad, communication, development, engineer, engineering, experience, gin","145, ability, about, along, analytical, analyze, applied, background, behavior, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\26801767.pdf
89,15602094,15.43,"ability, along, analyze, c, communication, design, development, engineer, gin, performance","000, 145, about, analytical, applied, area, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\15602094.pdf
90,29075857,15.41,"ability, c, communication, design, development, engineer, engineering, experience, gin, performance","000, 145, about, along, analytical, analyze, applied, area, background, behavior",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\29075857.pdf
91,13569152,15.40,"000, ability, background, c, communication, design, development, experience, mode, performance","145, about, along, analytical, analyze, applied, area, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\13569152.pdf
92,22776912,15.38,"000, ability, along, c, communication, design, development, experience, gin, mode","145, about, analytical, analyze, applied, area, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\22776912.pdf
93,32959732,15.36,"ability, area, c, cad, communication, design, development, engineer, experience, gin","000, 145, about, along, analytical, analyze, applied, background, behavior, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\32959732.pdf
94,27372171,15.34,"ability, along, analytical, analyze, area, c, communication, design, experience, gin","000, 145, about, applied, background, behavior, cad, canada, development, engineer",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\27372171.pdf
95,90867631,15.34,"000, 145, ability, area, c, communication, design, development, experience, gin","about, along, analytical, analyze, applied, background, behavior, cad, canada, engineer",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\90867631.pdf
96,28320387,15.33,"analyze, area, c, communication, design, engineer, engineering, experience, gin, performance","000, 145, ability, about, along, analytical, applied, background, behavior, cad",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\28320387.pdf
97,86209934,15.33,"ability, behavior, c, cad, communication, design, development, engineer, engineering, experience","000, 145, about, along, analytical, analyze, applied, area, background, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\86209934.pdf
98,21780877,15.32,"000, ability, analyze, c, communication, design, engineer, engineering, experience, gin","145, about, along, analytical, applied, area, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\21780877.pdf
99,11957080,15.31,"000, ability, analyze, c, communication, design, development, experience, gin, performance","145, about, along, analytical, applied, area, background, behavior, cad, canada",Similarity=0.02; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\11957080.pdf
100,52246737,15.26,"000, ability, applied, area, background, c, design, development, experience, gin","145, about, along, analytical, analyze, behavior, cad, canada, communication, engineer",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\52246737.pdf
101,23527321,15.25,"ability, analytical, area, c, communication, design, development, engineer, engineering, experience","000, 145, about, along, analyze, applied, background, behavior, cad, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\23527321.pdf
102,11584809,15.19,"analyze, background, c, communication, design, development, engineer, engineering, experience, gin","000, 145, ability, about, along, analytical, applied, area, behavior, cad",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\11584809.pdf
103,44624796,15.18,"000, analytical, analyze, area, c, communication, design, engineer, engineering, experience","145, ability, about, along, applied, background, behavior, cad, canada, development",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\44624796.pdf
104,31677347,15.17,"000, ability, area, c, communication, design, development, engineer, engineering, experience","145, about, along, analytical, analyze, applied, background, behavior, cad, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\31677347.pdf
105,16533554,15.15,"000, ability, area, c, communication, design, development, engineer, experience, gin","145, about, along, analytical, analyze, applied, background, behavior, cad, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\16533554.pdf
106,10219099,15.14,"analyze, area, c, cad, communication, design, engineer, engineering, experience, gin","000, 145, ability, about, along, analytical, applied, background, behavior, canada",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\10219099.pdf
107,11890896,15.11,"ability, analytical, analyze, area, c, design, engineer, engineering, experience, gin","000, 145, about, along, applied, background, behavior, cad, canada, communication",Similarity=0.01; MustMatch=0.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\11890896.pdf
