Rank,Candidate,Score,Strengths,Weaknesses,Explanation,File
23,36517781,41.62,"r, administrative, c, communication, daily, documents, excel, experience, filing, location","assistant, attention, calendars, calls, coordination, correspondence, description, detail, emails, job",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.56,E:\hackathon\1\resume\36517781.pdf
24,25905275,41.60,"r, c, calls, communication, documents, emails, excel, experience, filing, maintain","administrative, assistant, attention, calendars, coordination, correspondence, daily, description, detail, job",Similarity=0.03; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\25905275.pdf
25,44624796,41.49,"r, assistant, c, communication, coordination, daily, detail, excel, experience, job","administrative, attention, calendars, calls, correspondence, description, documents, emails, filing, location",Similarity=0.03; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\44624796.pdf
26,12045067,41.49,"r, administrative, c, communication, coordination, daily, detail, documents, experience, location","assistant, attention, calendars, calls, correspondence, description, emails, excel, filing, job",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.56,E:\hackathon\1\resume\12045067.pdf
27,15791766,41.41,"r, c, calls, communication, daily, description, excel, experience, location, maintain","administrative, assistant, attention, calendars, coordination, correspondence, detail, documents, emails, filing",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.56,E:\hackathon\1\resume\15791766.pdf
28,39855211,41.37,"r, attention, c, calls, communication, daily, detail, excel, experience, job","administrative, assistant, calendars, coordination, correspondence, description, documents, emails, filing, managers",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.56,E:\hackathon\1\resume\39855211.pdf
29,81761658,41.29,"r, c, communication, detail, documents, excel, experience, job, location, maintain","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, emails",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\81761658.pdf
30,21847415,41.27,"r, assistant, c, communication, daily, documents, excel, experience, filing, maintain","administrative, attention, calendars, calls, coordination, correspondence, description, detail, emails, job",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.56,E:\hackathon\1\resume\21847415.pdf
31,22450718,41.11,"r, c, communication, daily, detail, excel, experience, location, maintain, manage","administrative, assistant, attention, calendars, calls, coordination, correspondence, description, documents, emails",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\22450718.pdf
32,91635250,41.06,"r, c, communication, daily, detail, excel, experience, job, maintain, manage","administrative, assistant, attention, calendars, calls, coordination, correspondence, description, documents, emails",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\91635250.pdf
33,25207620,41.03,"r, attention, c, communication, coordination, detail, excel, experience, job, manage","administrative, assistant, calendars, calls, correspondence, daily, description, documents, emails, filing",Similarity=0.03; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\25207620.pdf
34,27295996,41.01,"r, administrative, assistant, c, communication, daily, experience, location, maintain, manage","attention, calendars, calls, coordination, correspondence, description, detail, documents, emails, excel",Similarity=0.03; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\27295996.pdf
35,24083609,41.00,"r, attention, c, coordination, detail, documents, excel, experience, filing, manage","administrative, assistant, calendars, calls, communication, correspondence, daily, description, emails, job",Similarity=0.03; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\24083609.pdf
36,51363762,40.85,"r, attention, c, communication, daily, detail, documents, excel, experience, maintain","administrative, assistant, calendars, calls, coordination, correspondence, description, emails, filing, job",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\51363762.pdf
37,27756469,40.84,"r, assistant, attention, c, detail, excel, experience, filing, location, maintain","administrative, calendars, calls, communication, coordination, correspondence, daily, description, documents, emails",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\27756469.pdf
38,89413122,40.79,"r, assistant, c, calls, coordination, detail, experience, maintain, manage, management","administrative, attention, calendars, communication, correspondence, daily, description, documents, emails, excel",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\89413122.pdf
39,40018190,40.77,"r, administrative, assistant, c, calls, communication, daily, experience, maintain, manage","attention, calendars, coordination, correspondence, description, detail, documents, emails, excel, filing",Similarity=0.03; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\40018190.pdf
40,47276718,40.77,"r, assistant, c, communication, daily, documents, excel, experience, job, maintain","administrative, attention, calendars, calls, coordination, correspondence, description, detail, emails, filing",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.52,E:\hackathon\1\resume\47276718.pdf
41,17025292,40.74,"r, c, communication, coordination, detail, excel, experience, location, maintain, manage","administrative, assistant, attention, calendars, calls, correspondence, daily, description, documents, emails",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\17025292.pdf
42,31111279,40.70,"r, c, communication, coordination, excel, experience, job, maintain, manage, management","administrative, assistant, attention, calendars, calls, correspondence, daily, description, detail, documents",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\31111279.pdf
43,86209934,40.67,"r, administrative, c, communication, coordination, daily, detail, experience, job, manage","assistant, attention, calendars, calls, correspondence, description, documents, emails, excel, filing",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\86209934.pdf
44,15139979,40.67,"r, administrative, assistant, c, communication, documents, experience, job, maintain, manage","attention, calendars, calls, coordination, correspondence, daily, description, detail, emails, excel",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\15139979.pdf
45,27770859,40.62,"r, assistant, c, communication, description, detail, experience, job, maintain, manage","administrative, attention, calendars, calls, coordination, correspondence, daily, documents, emails, excel",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\27770859.pdf
46,29723311,40.60,"r, c, communication, daily, detail, documents, excel, experience, maintain, manage","administrative, assistant, attention, calendars, calls, coordination, correspondence, description, emails, filing",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\29723311.pdf
47,20566550,40.59,"r, administrative, attention, c, communication, detail, excel, experience, maintain, manage","assistant, calendars, calls, coordination, correspondence, daily, description, documents, emails, filing",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\20566550.pdf
48,11020140,40.59,"r, c, communication, daily, detail, emails, excel, experience, job, location","administrative, assistant, attention, calendars, calls, coordination, correspondence, description, documents, filing",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\11020140.pdf
49,26746496,40.57,"r, assistant, c, daily, description, emails, excel, experience, location, manage","administrative, attention, calendars, calls, communication, coordination, correspondence, detail, documents, filing",Similarity=0.03; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\26746496.pdf
50,16186411,40.56,"r, assistant, c, daily, description, emails, excel, experience, location, manage","administrative, attention, calendars, calls, communication, coordination, correspondence, detail, documents, filing",Similarity=0.03; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\16186411.pdf
51,46260230,40.56,"r, c, communication, detail, excel, experience, job, maintain, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, documents",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\46260230.pdf
52,20408458,40.55,"r, c, calls, communication, daily, excel, experience, location, maintain, manage","administrative, assistant, attention, calendars, coordination, correspondence, description, detail, documents, emails",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\20408458.pdf
53,19612167,40.54,"r, administrative, c, calls, communication, daily, excel, experience, maintain, manage","assistant, attention, calendars, coordination, correspondence, description, detail, documents, emails, filing",Similarity=0.03; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\19612167.pdf
54,12334140,40.53,"r, administrative, c, communication, daily, excel, experience, job, maintain, manage","assistant, attention, calendars, calls, coordination, correspondence, description, detail, documents, emails",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\12334140.pdf
55,28897981,40.53,"r, assistant, c, communication, correspondence, daily, excel, experience, maintain, manage","administrative, attention, calendars, calls, coordination, description, detail, documents, emails, filing",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\28897981.pdf
56,18067556,40.52,"r, c, coordination, daily, documents, excel, experience, job, maintain, manage","administrative, assistant, attention, calendars, calls, communication, correspondence, description, detail, emails",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\18067556.pdf
57,18159866,40.51,"r, administrative, c, communication, detail, excel, experience, location, maintain, manage","assistant, attention, calendars, calls, coordination, correspondence, daily, description, documents, emails",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\18159866.pdf
58,16803215,40.46,"r, assistant, attention, c, calls, communication, detail, documents, experience, manage","administrative, calendars, coordination, correspondence, daily, description, emails, excel, filing, job",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\16803215.pdf
59,14593060,40.46,"r, c, communication, daily, excel, experience, job, location, maintain, manage","administrative, assistant, attention, calendars, calls, coordination, correspondence, description, detail, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\14593060.pdf
60,17108676,40.41,"r, assistant, c, communication, daily, detail, documents, excel, experience, manage","administrative, attention, calendars, calls, coordination, correspondence, description, emails, filing, job",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\17108676.pdf
61,35389360,40.40,"r, attention, c, communication, detail, excel, experience, maintain, manage, management","administrative, assistant, calendars, calls, coordination, correspondence, daily, description, documents, emails",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\35389360.pdf
62,23497307,40.39,"r, attention, c, communication, detail, documents, excel, experience, manage, management","administrative, assistant, calendars, calls, coordination, correspondence, daily, description, emails, filing",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\23497307.pdf
63,Data_Analyst_Large,40.34,"r, attention, c, communication, detail, excel, experience, maintain, manage, management","administrative, assistant, calendars, calls, coordination, correspondence, daily, description, documents, emails",Similarity=0.03; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\Data_Analyst_Large.pdf
64,26801767,40.33,"r, administrative, c, communication, daily, excel, experience, maintain, manage, management","assistant, attention, calendars, calls, coordination, correspondence, description, detail, documents, emails",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\26801767.pdf
65,74236636,40.33,"r, c, communication, correspondence, daily, description, excel, experience, job, maintain","administrative, assistant, attention, calendars, calls, coordination, detail, documents, emails, filing",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.48,E:\hackathon\1\resume\74236636.pdf
66,14789139,40.31,"r, c, communication, coordination, documents, experience, maintain, manage, management, managers","administrative, assistant, attention, calendars, calls, correspondence, daily, description, detail, emails",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\14789139.pdf
67,12374933,40.29,"r, c, calls, daily, excel, experience, maintain, manage, management, managers","administrative, assistant, attention, calendars, communication, coordination, correspondence, description, detail, documents",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\12374933.pdf
68,25919149,40.28,"r, c, communication, daily, detail, excel, experience, maintain, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, description, documents, emails",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\25919149.pdf
69,21283365,40.28,"r, c, communication, documents, emails, experience, location, maintain, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\21283365.pdf
70,10247517,40.24,"r, c, communication, detail, documents, excel, experience, maintain, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, emails",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\10247517.pdf
71,20001721,40.19,"r, c, correspondence, documents, excel, experience, filing, maintain, manage, management","administrative, assistant, attention, calendars, calls, communication, coordination, daily, description, detail",Similarity=0.03; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\20001721.pdf
72,18301617,40.18,"r, c, communication, daily, documents, excel, experience, maintain, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, description, detail, emails",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\18301617.pdf
73,28628090,40.17,"r, c, communication, excel, experience, job, location, maintain, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\28628090.pdf
74,18753367,40.17,"r, c, communication, coordination, documents, experience, location, maintain, manage, management","administrative, assistant, attention, calendars, calls, correspondence, daily, description, detail, emails",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\18753367.pdf
75,10840430,40.16,"r, c, communication, detail, excel, experience, maintain, manage, management, managers","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, documents",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\10840430.pdf
76,30542184,40.15,"r, c, calls, communication, detail, excel, experience, maintain, manage, management","administrative, assistant, attention, calendars, coordination, correspondence, daily, description, documents, emails",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\30542184.pdf
77,19850482,40.14,"r, c, communication, daily, detail, experience, location, maintain, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, description, documents, emails",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\19850482.pdf
78,38753827,40.13,"r, c, calls, communication, detail, experience, location, maintain, manage, management","administrative, assistant, attention, calendars, coordination, correspondence, daily, description, documents, emails",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\38753827.pdf
79,29196643,40.13,"r, c, communication, excel, experience, filing, job, maintain, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.03; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\29196643.pdf
80,57002858,40.11,"r, assistant, c, communication, excel, experience, maintain, manage, management, office","administrative, attention, calendars, calls, coordination, correspondence, daily, description, detail, documents",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\57002858.pdf
81,19553067,40.10,"r, c, daily, documents, excel, experience, job, maintain, manage, managers","administrative, assistant, attention, calendars, calls, communication, coordination, correspondence, description, detail",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\19553067.pdf
82,39718499,40.08,"r, assistant, c, calls, communication, experience, maintain, manage, management, office","administrative, attention, calendars, coordination, correspondence, daily, description, detail, documents, emails",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\39718499.pdf
83,48037995,40.07,"r, assistant, attention, c, communication, detail, excel, experience, maintain, manage","administrative, calendars, calls, coordination, correspondence, daily, description, documents, emails, filing",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\48037995.pdf
84,35325329,40.03,"r, assistant, c, communication, detail, documents, excel, experience, location, manage","administrative, attention, calendars, calls, coordination, correspondence, daily, description, emails, filing",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\35325329.pdf
85,22776912,40.01,"r, c, communication, daily, detail, excel, experience, maintain, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, description, documents, emails",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\22776912.pdf
86,30223363,40.01,"r, c, communication, coordination, daily, detail, documents, experience, maintain, manage","administrative, assistant, attention, calendars, calls, correspondence, description, emails, excel, filing",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\30223363.pdf
87,24020470,40.00,"r, c, calls, daily, excel, experience, location, maintain, manage, management","administrative, assistant, attention, calendars, communication, coordination, correspondence, description, detail, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\24020470.pdf
88,68460556,39.99,"r, assistant, c, communication, daily, excel, experience, location, maintain, manage","administrative, attention, calendars, calls, coordination, correspondence, description, detail, documents, emails",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\68460556.pdf
89,21038022,39.98,"r, c, communication, excel, experience, location, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\21038022.pdf
90,28320387,39.95,"r, administrative, assistant, c, communication, experience, maintain, manage, management, office","attention, calendars, calls, coordination, correspondence, daily, description, detail, documents, emails",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\28320387.pdf
91,25608963,39.92,"r, c, communication, daily, detail, excel, experience, job, maintain, manage","administrative, assistant, attention, calendars, calls, coordination, correspondence, description, documents, emails",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\25608963.pdf
92,86828820,39.90,"r, c, communication, coordination, detail, excel, experience, job, manage, management","administrative, assistant, attention, calendars, calls, correspondence, daily, description, documents, emails",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\86828820.pdf
93,10265057,39.86,"r, attention, c, communication, detail, excel, experience, maintain, manage, office","administrative, assistant, calendars, calls, coordination, correspondence, daily, description, documents, emails",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\10265057.pdf
94,20574232,39.84,"r, c, communication, detail, excel, experience, job, maintain, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\20574232.pdf
95,20879311,39.83,"r, c, communication, daily, excel, experience, location, maintain, manage, management","administrative, assistant, attention, calendars, calls, coordination, correspondence, description, detail, documents",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.44,E:\hackathon\1\resume\20879311.pdf
96,22605864,39.83,"r, c, daily, excel, experience, job, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, communication, coordination, correspondence, description, detail",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\22605864.pdf
97,10553553,39.81,"r, administrative, c, communication, excel, experience, maintain, manage, management, office","assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail, documents",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\10553553.pdf
98,14206561,39.77,"r, c, coordination, excel, experience, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, communication, correspondence, daily, description, detail",Similarity=0.03; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\14206561.pdf
99,32081266,39.73,"r, c, communication, coordination, excel, experience, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, correspondence, daily, description, detail, documents",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\32081266.pdf
100,10219099,39.72,"r, c, communication, documents, excel, experience, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\10219099.pdf
101,25990239,39.67,"r, c, calls, excel, experience, maintain, manage, management, managers","administrative, assistant, attention, calendars, communication, coordination, correspondence, daily, description, detail",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\25990239.pdf
102,11580408,39.67,"r, c, communication, excel, experience, location, maintain, manage, management, office","administrative, assistant, attention, calendars, calls, coordination, correspondence, daily, description, detail",Similarity=0.01; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.40,E:\hackathon\1\resume\11580408.pdf
103,36434348,39.66,"r, assistant, c, communication, experience, maintain, manage, management, office","administrative, attention, calendars, calls, coordination, correspondence, daily, description, detail, documents",Similarity=0.02; MustMatch=1.00; NiceMatch=0.00; SkillMatch=0.36,E:\hackathon\1\resume\36434348.pdf
